review_id,example_id,direction,source_text,candidate_translation,reference_translation,human_score,reviewer_comment
MR-001,TASKA-ENZH-053,en-zh,I changed my hair.,我改變髮型,我改變了髮型,,
MR-002,TASKA-ENZH-041,en-zh,And that's why you're my favorite.,所以你是我最喜歡的,所以你是我最喜歡的,,
MR-003,TASKA-ENZH-049,en-zh,"- Pills. MDMA, no big deal.",-药丸·摇头,-药丸·摇头丸，没啥大不了的,,
MR-004,TASKA-ZHEN-026,zh-en,而与性别，甚至更好。,And with even better.,"And with sex, it's even better.",,
MR-005,TASKA-ENZH-086,en-zh,You're old enough to stand with the men now. Go on.,您已经很大可以 与男人站在一起。,您已经很大，可以 与男人站在一起。,,
MR-006,TASKA-ZHEN-073,zh-en,本来是 应该是 本来应该是,- Was. Would have been.,- Was. Would be. Would have been.,,
MR-007,TASKA-ZHEN-047,zh-en,你们俩 做得好啊,Nice work you two.,"Nice work, you two.",,
MR-008,TASKA-ENZH-064,en-zh,This is good luck where I come from.,This is good luck where I come from.,在我的故乡 它象征着好运,,
MR-009,TASKA-ENZH-094,en-zh,I went fishing on it one time.,我上次还用它打渔,我上次还用它打渔呢,,
MR-010,TASKA-ZHEN-003,zh-en,- 相信我，我没兴趣,- Believe me I'm not interested.,"- Believe me, I'm not interested.",,
MR-011,TASKA-ZHEN-001,zh-en,在你出现之前 我对生命 和自己一无所知,I knew nothing about... until you came along.,"I knew nothing about life, or about myself... until you came along.",,
MR-012,TASKA-ZHEN-029,zh-en,微波炉坏了 今晚真糟糕 怎么全赶上了？,The microwave doesn't work. What a night. What are the odds,The microwave doesn't work. What a night. What are the odds?,,
MR-013,TASKA-ZHEN-064,zh-en,我们要离开皇后区 我绝不允许他,♪ Leaving Queens There's no way I'll let him ♪,♪ Leaving Queens There's no way I'll let him ♪,,
MR-014,TASKA-ENZH-002,en-zh,But to send these kids to a good school or let them do extracurricular activities...,但我想让他们 去上好一点学校 学习更多的才艺,但我想让他们 去上好一点的学校 学习更多的才艺,,
MR-015,TASKA-ZHEN-059,zh-en,参赛细则里 视频长度超过半小时 夺冠后经验等奖励翻倍,In the rules if the video is more than 30 minutes the prize and reward will be doubled for winners,In the rules if the video is more than 30 minutes the prize and reward will be doubled for winners.,,
MR-016,TASKA-ZHEN-058,zh-en,我记得说过要多付你钱 遇到红灯不要停,我记得说过要多付你钱 遇到红灯不要停,"Hey, hey, I thought I was paying you extra not to stop at the reds.",,
MR-017,TASKA-ZHEN-041,zh-en,我希望豪斯再来玩,I wish House still came over to play.,I wish House still came over to play.,,
MR-018,TASKA-ENZH-037,en-zh,"Next time you boys come through Rocky Branch,",下次你们这些小子再来这,下次你们这些小子再来这,,
MR-019,TASKA-ZHEN-038,zh-en,只是因为很难启齿 因为... 你不一样,"It's just so hard, because... you're just different.","It's just so hard to talk about it, because... you're just different.",,
MR-020,TASKA-ENZH-023,en-zh,"Oh, yeah. Who's bad? That's right.",谁凶，这才对,谁凶狠啊，这才对,,
MR-021,TASKA-ZHEN-054,zh-en,救我 我要死了！,Help me. I'm about to die!,Help me. I'm about to die!,,
MR-022,TASKA-ZHEN-076,zh-en,他们让她直到保险，耗尽。,They keep her until the insurance runs out,They keep her until the insurance runs out.,,
MR-023,TASKA-ENZH-090,en-zh,Yes. Covered in all these...,摆满,摆满了这些...,,
MR-024,TASKA-ENZH-085,en-zh,My department head said I've gone crazy.,你要是像平时那样把事情搞砸的话,你要是像平时那样把事情搞砸的话,,
MR-025,TASKA-ENZH-040,en-zh,Gabrielle has the gift.,加布里有礼物。,加布里埃尔有礼物。,,
MR-026,TASKA-ZHEN-011,zh-en,当比特犬咬住什么东西时 下颌会锁死吧？,A pit bull locks their jaw when they get a hold of something,A pit bull locks their jaw when they get a hold of something?,,
MR-027,TASKA-ENZH-074,en-zh,So they got it from some professor.,所以去跟一个那个什么教授拿来的,所以去跟一个那个什么教授拿来的,,
MR-028,TASKA-ZHEN-025,zh-en,他留下的九柱香,The nine he left behind.,The nine incense sticks he left behind.,,
MR-029,TASKA-ENZH-056,en-zh,"Besides, if I had refused, Matthias would be defeated by the enemy.","Besides, if I had refused, Matthias would be defeated by the enemy.",况且 如果拒绝你们的要求就会与马蒂亚斯为敌,,
MR-030,TASKA-ZHEN-034,zh-en,我当时住在纽约 两边来回跑 因为我还有很多东西在那里,"I was in New York, back and forth, going, 'cause I still had a lot of my stuff out there.","I was in New York, back and forth, going, 'cause I still had a lot of my stuff out there.",,
MR-031,TASKA-ENZH-051,en-zh,"Yes, I do understand, senator.",我议员,我懂，参议员,,
