review_id,example_id,direction,source_language,target_language,source_dataset,source_config,source_split,source_record_id,original_source_text,original_reference_text,reference_translation,candidate_translation,internal_quality_bucket,candidate_generation_method,dataset_version
MR-001,TASKA-ENZH-053,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,12789427,I changed my hair.,我改變了髮型,我改變了髮型,我改變髮型,medium,minor_function_character_omission,v1.0
MR-002,TASKA-ENZH-041,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11615193,And that's why you're my favorite.,所以你是我最喜歡的,所以你是我最喜歡的,所以你是我最喜歡的,high,reference_preserved_no_intentional_error,v1.0
MR-003,TASKA-ENZH-049,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6391502,"- Pills. MDMA, no big deal.",-药丸·摇头丸，没啥大不了的,-药丸·摇头丸，没啥大不了的,-药丸·摇头,very_low,severe_translation_omission,v1.0
MR-004,TASKA-ZHEN-026,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3936478,"And with sex, it's even better.",而与性别，甚至更好。,"And with sex, it's even better.",And with even better.,low,substantial_contiguous_content_omission,v1.0
MR-005,TASKA-ENZH-086,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1687272,You're old enough to stand with the men now. Go on.,您已经很大，可以 与男人站在一起。,您已经很大，可以 与男人站在一起。,您已经很大可以 与男人站在一起。,medium,minor_punctuation_omission,v1.0
MR-006,TASKA-ZHEN-073,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19186345,- Was. Would be. Would have been.,本来是 应该是 本来应该是,- Was. Would be. Would have been.,- Was. Would have been.,low,substantial_contiguous_content_omission,v1.0
MR-007,TASKA-ZHEN-047,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10434688,"Nice work, you two.",你们俩 做得好啊,"Nice work, you two.",Nice work you two.,medium,minor_punctuation_omission,v1.0
MR-008,TASKA-ENZH-064,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5006240,This is good luck where I come from.,在我的故乡 它象征着好运,在我的故乡 它象征着好运,This is good luck where I come from.,very_low,wrong_language_source_copy,v1.0
MR-009,TASKA-ENZH-094,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13975684,I went fishing on it one time.,我上次还用它打渔呢,我上次还用它打渔呢,我上次还用它打渔,medium,minor_discourse_particle_omission,v1.0
MR-010,TASKA-ZHEN-003,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4172616,"- Believe me, I'm not interested.",- 相信我，我没兴趣,"- Believe me, I'm not interested.",- Believe me I'm not interested.,medium,minor_punctuation_omission,v1.0
